projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,43,65,0.0,7.19,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,65,0.0,0.2,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,65,0.0,0.4399999999999999,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,61,65,0.0,2.52,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,52,65,0.0,2.42,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,40,65,0.0,0.16,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,43,65,0.0,6.949999999999999,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,50,65,0.0,0.24,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,51,65,0.0,0.48,,,,,,,,
BirdShooter.sb3,static-BirdShooter-NEAT-11.js_1.js,69,61,65,0.0,1.98,,,,,,,,
