projectName,testName,totalStatements,testCoveredStatements,totalCoveredStatements,score,playTime,surpriseStepAdequacy,surpriseNodeAdequacy,surpriseCounterNormalised,zScore,avgUncertainty,maxUncertainty,avgDeltaUncertainty,maxDeltaUncertainty
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.77,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,1.88,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,1.75,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,1.0,4.5600000000000005,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.71,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.78,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.63,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,65,69,3.0,6.21,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,65,69,3.0,5.92,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,1.0,4.96,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.73,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.76,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.68,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.46,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.48,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,2.0,4.92,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.78,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.64,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.65,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,1.9,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.1,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,1.0,4.95,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.74,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,52,69,0.0,59.78,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,53,69,0.0,59.66,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.55,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,61,69,0.0,2.41,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-10.json,69,66,69,2.0,4.5,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.720000000000006,,,,,,,,
BirdShooter.sb3,dynamic-BirdShooter-NEAT-11.json,69,52,69,0.0,59.720000000000006,,,,,,,,
